Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,12878
2,नेपाली काँग्रेस,रुख,9309
3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,9110
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2840
5,नेपाल मजदुर किसान पार्टी,मादल,2057
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,519
7,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,227
8,नेपाल जनता संरक्षण पार्टी,डोको,143
9,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,119
10,जनमत पार्टी,लाउड स्पिकर,74
11,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,54
12,राष्ट्रिय जनमोर्चा,गिलास,53
13,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,39
14,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,37
15,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,36
16,नेपाल जनता पार्टी,कमलको फूल,26
17,प्रजातान्त्रिक पार्टी नेपाल,रथ,23
18,राष्ट्रिय एकता दल,"तुलसी, मठ",22
19,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,22
20,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,19
21,त्रिमुल नेपाल,ओदान,18
22,बहुजन शक्ति पार्टी,जग,18
23,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,17
24,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,16
25,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,16
26,नेपाली काँग्रेस (वी.पी.),करूवा,16
27,नेपाली जनता दल,सिट्ठी,13
28,"नागरिक शक्ति, नेपाल",त्रिशुल,12
29,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),12
30,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,10
31,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,10
32,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,9
33,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,9
34,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,8
35,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),7
36,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,7
37,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,6
38,मितेरी पार्टी नेपाल,घोडा,6
39,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,6
40,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,5
41,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,4
42,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,4
43,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,4
44,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,3
45,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,3
46,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,3
47,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,2
48,जन अधिकार पार्टी,डुङ्‌गा,2
49,नेपाल जनमुक्ति पार्टी,घर,1
50,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,1
51,संयुक्त नागरिक पार्टी,गितार,1
52,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,1
53,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,1
54,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,1
55,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,0
56,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,0
57,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,0
