Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,10202
2,नेपाली काँग्रेस,रुख,9360
3,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,6552
4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6029
5,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,5118
6,नेपाल मजदुर किसान पार्टी,मादल,1421
7,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,256
8,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,200
9,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,159
10,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,108
11,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,99
12,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,57
13,जनमत पार्टी,लाउड स्पिकर,47
14,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,42
15,नेपाल जनता पार्टी,कमलको फूल,41
16,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,41
17,राष्ट्रिय जनमोर्चा,गिलास,36
18,नेपाल जनता संरक्षण पार्टी,डोको,35
19,संयुक्त नागरिक पार्टी,गितार,31
20,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,28
21,राष्ट्रिय एकता दल,"तुलसी, मठ",23
22,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,22
23,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,20
24,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),16
25,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,15
26,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,14
27,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,10
28,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,10
29,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,9
30,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,8
31,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,8
32,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,7
33,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,7
34,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,7
35,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,7
36,नेपाली जनता दल,सिट्ठी,6
37,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,6
38,त्रिमुल नेपाल,ओदान,5
39,नेपाल जनमुक्ति पार्टी,घर,5
40,नेपाली काँग्रेस (वी.पी.),करूवा,5
41,बहुजन शक्ति पार्टी,जग,4
42,मितेरी पार्टी नेपाल,घोडा,4
43,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,4
44,प्रजातान्त्रिक पार्टी नेपाल,रथ,4
45,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,4
46,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,3
47,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,3
48,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,3
49,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),3
50,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,3
51,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,2
52,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,2
53,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
54,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,2
55,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,2
56,"नागरिक शक्ति, नेपाल",त्रिशुल,1
57,जन अधिकार पार्टी,डुङ्‌गा,1
