Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27525
2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,12542
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10225
4,नेपाली काँग्रेस,रुख,9628
5,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,6813
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1069
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,567
8,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,332
9,नेपाल जनता संरक्षण पार्टी,डोको,316
10,जनमत पार्टी,लाउड स्पिकर,161
11,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,153
12,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,146
13,संयुक्त नागरिक पार्टी,गितार,106
14,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,103
15,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,94
16,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,91
17,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,90
18,नेपाल मजदुर किसान पार्टी,मादल,88
19,राष्ट्रिय एकता दल,"तुलसी, मठ",72
20,राष्ट्रिय जनमोर्चा,गिलास,64
21,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,55
22,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,48
23,नेपाल जनता पार्टी,कमलको फूल,48
24,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,44
25,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,36
26,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,35
27,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,35
28,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,33
29,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,28
30,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,25
31,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,23
32,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,22
33,नेपाली जनता दल,सिट्ठी,22
34,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,22
35,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,22
36,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,21
37,प्रजातान्त्रिक पार्टी नेपाल,रथ,16
38,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,15
39,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),14
40,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,12
41,बहुजन शक्ति पार्टी,जग,12
42,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,11
43,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,11
44,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,10
45,"नागरिक शक्ति, नेपाल",त्रिशुल,8
46,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,8
47,मितेरी पार्टी नेपाल,घोडा,8
48,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,7
49,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),6
50,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,6
51,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,6
52,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,5
53,नेपाली काँग्रेस (वी.पी.),करूवा,5
54,जन अधिकार पार्टी,डुङ्‌गा,5
55,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,3
56,नेपाल जनमुक्ति पार्टी,घर,2
57,त्रिमुल नेपाल,ओदान,1
