Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
15,ईन्जाद अंसारी,स्वतन्त्र,जीप,33,पुरुष,26,,मधेश प्रदेश,बारा,2,स्‍नातक,,,श्री नेपाल राष्ट्रिय माध्यमिक विद्यालय कलैया बारा
16,राजबली प्रसाद,स्वतन्त्र,केबल कार,23,पुरुष,59,,मधेश प्रदेश,बारा,2,आठ पास,लेखापढी,,श्री ने.मा.वि. पिप्राढी बेनौली
17,राधा देवी महरा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,15,महिला,38,,मधेश प्रदेश,बारा,2,,,"सुशासन ल्याउने, गरिबी हटाउने र निःशुल्क शिक्षा स्वास्थ्य बनाउने",
18,सुरेन्द्र प्रसाद यादव,स्वतन्त्र,क्याल्कुलेटर,15,पुरुष,30,,मधेश प्रदेश,बारा,2,+2,,,श्री रामचरित्र उच्च मा.वि. च्युटाहा
19,चन्दन कुमार यादव,नेपाल मजदुर किसान पार्टी,मादल,11,पुरुष,30,,मधेश प्रदेश,बारा,2,SLC,,,दुर्गा उ.मा.वि.
20,दिनेश प्रसाद यादव,स्वतन्त्र,सिरिन्ज,8,पुरुष,39,,मधेश प्रदेश,बारा,2,SLC,,,श्री भोला मा.वि. गंजभवानीपुर
21,मुरली मनोहर प्रसाद साह,स्वतन्त्र,स्टुल,8,पुरुष,39,,मधेश प्रदेश,बारा,2,,,,
22,अमरेश कुमार पाण्डे,जन अधिकार पार्टी,डुङ्‌गा,6,पुरुष,37,,मधेश प्रदेश,बारा,2,SLC,,,श्री अमरेश कुमार पाण्डे
23,जालन्‍दर महतो,स्वतन्त्र,आँप,6,पुरुष,51,,मधेश प्रदेश,बारा,2,SLC,२०५० साल देखि,,श्री गढीमाई उच्च मा.वि.
24,मुकेश प्रसाद कुशवाहा,स्वतन्त्र,मुढा,6,पुरुष,29,,मधेश प्रदेश,बारा,2,साधारण,,,श्री गढीमाई मा.वि.
25,अनिता कुमारी,स्वतन्त्र,कैंची,5,महिला,31,,मधेश प्रदेश,बारा,2,८ कक्षा,,,
26,नगिना देबी,स्वतन्त्र,कप र प्लेट,5,महिला,45,,मधेश प्रदेश,बारा,2,५ कक्षा,,,
27,प्रयाग प्रसाद चौधरी,स्वतन्त्र,भँगेरा,4,पुरुष,50,,मधेश प्रदेश,बारा,2,एस.एल.सी.,,,ने.रा.मा.वि. करैया
28,छोटेलाल साह,स्वतन्त्र,प्रेसर कुकर,2,पुरुष,33,,मधेश प्रदेश,बारा,2,+2,राजनैतीक,,रामाराजा क्याम्पस
29,जालमहमद अंसारी,स्वतन्त्र,रिक्सा,1,पुरुष,51,,मधेश प्रदेश,बारा,2,+2,राजनैतिक,,जवाहरलाल नेहरु
